id,override,price,link,availability
p1639-v3156-s,DE,360 EUR,https://www.morjas.com/product/the-horsebit-loafer-brown-suede,in stock
p7769-v9537-s,DE,360 EUR,https://www.morjas.com/product/the-horsebit-loafer-black-grain,in stock
p7770-v9538-s,DE,360 EUR,https://www.morjas.com/product/the-horsebit-loafer-brown-grain,in stock
p7773-v9541-s,DE,350 EUR,https://www.morjas.com/product/the-venetian-black-grain,in stock
p7774-v9542-s,DE,350 EUR,https://www.morjas.com/product/the-venetian-brown-grain,in stock
p7775-v9543-s,DE,350 EUR,https://www.morjas.com/product/the-venetian-brown-suede,in stock
p7776-v9544-s,DE,350 EUR,https://www.morjas.com/product/the-venetian-sand-suede,in stock
p7333-v9088-s,DE,370 EUR,https://www.morjas.com/product/the-full-strap-loafer-black-calf,in stock
p123-v1640-s,DE,320 EUR,https://www.morjas.com/product/the-opera-pump-black-patent,in stock
p3130-v4811-s,DE,150 EUR,https://www.morjas.com/product/the-espadrille-beige-suede,out of stock
p2453-v4065-s,DE,150 EUR,https://www.morjas.com/product/the-espadrille-all-black-suede,out of stock
p1648-v3165-s,DE,150 EUR,https://www.morjas.com/product/the-espadrille-taupe-suede,in stock
p783-v2300-s,DE,150 EUR,https://www.morjas.com/product/the-espadrille-navy-suede-1,in stock
p782-v2299-s,DE,150 EUR,https://www.morjas.com/product/the-espadrille-light-grey-suede,in stock
p1649-v3166-s,DE,140 EUR,https://www.morjas.com/product/the-espadrille-ivory-canvas,in stock
p7768-v9536-s,DE,150 EUR,https://www.morjas.com/product/the-espadrille-all-brown-suede,out of stock
p779-v2296-s,DE,150 EUR,https://www.morjas.com/product/the-espadrille-brown-suede,in stock
p3689-v5444-s,DE,300 EUR,https://www.morjas.com/product/the-boat-shoe-brown-grain,in stock
p3142-v4823-s,DE,300 EUR,https://www.morjas.com/product/the-boat-shoe-brown-suede,in stock
p3162-v4844-s,DE,300 EUR,https://www.morjas.com/product/the-boat-shoe-black-grain,in stock
p7782-v9564-s,DE,300 EUR,https://www.morjas.com/product/the-boat-shoe-sand-suede,in stock
p7783-v9565-s,DE,300 EUR,https://www.morjas.com/product/the-boat-shoe-brown-suede-and-brown-calf,in stock
p3141-v4822-s,DE,300 EUR,https://www.morjas.com/product/the-boat-shoe-black-suede-black,in stock
p7779-v9561-s,DE,180 EUR,https://www.morjas.com/product/the-deck-shoe-cream-canvas,in stock
p3685-v5440-s,DE,180 EUR,https://www.morjas.com/product/the-deck-shoe-navy-canvas,in stock
p7778-v9560-s,DE,180 EUR,https://www.morjas.com/product/the-deck-shoe-lavender-canvas,in stock
p7772-v9540-s,DE,200 EUR,https://www.morjas.com/product/the-plimsoll-cream-canvas,in stock
p3681-v5436-s,DE,200 EUR,https://www.morjas.com/product/the-plimsoll-taupe-nubuck,in stock
p7771-v9539-s,DE,200 EUR,https://www.morjas.com/product/the-plimsoll-olive-drab-canvas,in stock
p3682-v5437-s,DE,200 EUR,https://www.morjas.com/product/the-plimsoll-black-suede,in stock
p772-v2289-s,DE,240 EUR,https://www.morjas.com/product/the-sneaker-02-white-leather,in stock
p3678-v5433-s,DE,250 EUR,https://www.morjas.com/product/the-court-sneaker-off-white,in stock
p1659-v3176-s,DE,240 EUR,https://www.morjas.com/product/the-sneaker-02-all-dark-brown-suede,in stock
p2456-v4068-s,DE,240 EUR,https://www.morjas.com/product/the-sneaker-02-nougat-suede,in stock
p766-v2283-s,DE,240 EUR,https://www.morjas.com/product/the-sneaker-02-navy-suede,in stock
p3692-v5447-s,DE,240 EUR,https://www.morjas.com/product/the-sneaker-02-beige-suede,in stock
p7767-v9535-s,DE,250 EUR,https://www.morjas.com/product/the-court-sneaker-nougat-suede,in stock
p1660-v3177-s,DE,240 EUR,https://www.morjas.com/product/the-sneaker-02-all-black-suede,in stock
p3679-v5434-s,DE,250 EUR,https://www.morjas.com/product/the-court-sneaker-brown,in stock
p3680-v5435-s,DE,250 EUR,https://www.morjas.com/product/the-court-sneaker-black,in stock
p3675-v5430-s,DE,300 EUR,https://www.morjas.com/product/the-trainer-white,in stock
p3677-v5432-s,DE,300 EUR,https://www.morjas.com/product/the-trainer-navy-black,in stock
p3676-v5431-s,DE,300 EUR,https://www.morjas.com/product/the-trainer-taupe,in stock
p7802-v9584-s,DE,220 EUR,https://www.morjas.com/product/the-costa-sandal-black-grain,in stock
p7756-v9514-s,DE,380 EUR,https://www.morjas.com/product/the-camp-moc-mull-nubuck,in stock
p7755-v9513-s,DE,420 EUR,https://www.morjas.com/product/the-camp-moc-black-deerskin,out of stock
p11-v1533-s,DE,350 EUR,https://www.morjas.com/product/the-oxford-black-calf,in stock
p16-v1538-s,DE,350 EUR,https://www.morjas.com/product/the-oxford-black-patent,in stock
p13-v1535-s,DE,350 EUR,https://www.morjas.com/product/the-oxford-brown-calf,in stock
p12-v1534-s,DE,350 EUR,https://www.morjas.com/product/the-oxford-burgundy-calf,in stock
p14-v1536-s,DE,350 EUR,https://www.morjas.com/product/the-oxford-brown-suede,in stock
p789-v2306-s,DE,350 EUR,https://www.morjas.com/product/the-oxford-rubber-sole-black-calf,in stock
p1632-v3149-s,DE,350 EUR,https://www.morjas.com/product/the-oxford-rubber-sole-brown-calf,in stock
p1631-v3148-s,DE,350 EUR,https://www.morjas.com/product/the-oxford-rubber-sole-burgundy-calf,in stock
p1633-v3150-s,DE,350 EUR,https://www.morjas.com/product/the-oxford-rubber-sole-brown-suede,in stock
p803-v2320-s,DE,350 EUR,https://www.morjas.com/product/the-adelaide-black-calf,in stock
p2443-v4055-s,DE,350 EUR,https://www.morjas.com/product/the-adelaide-brown-calf,in stock
p1635-v3152-s,DE,350 EUR,https://www.morjas.com/product/the-adelaide-brown-suede,in stock
p3424-v5106-s,DE,370 EUR,https://www.morjas.com/product/the-split-toe-derby-brown-grain,in stock
p3425-v5107-s,DE,370 EUR,https://www.morjas.com/product/the-split-toe-derby-black-calf,in stock
p3660-v5415-s,DE,370 EUR,https://www.morjas.com/product/the-split-toe-derby-black-grain,in stock
p3423-v5105-s,DE,370 EUR,https://www.morjas.com/product/the-split-toe-derby-brown-suede,in stock
p7786-v9568-s,DE,370 EUR,https://www.morjas.com/product/the-split-toe-derby-polo-suede,in stock
p31-v1541-s,DE,370 EUR,https://www.morjas.com/product/the-derby-brown-calf,in stock
p29-v1539-s,DE,370 EUR,https://www.morjas.com/product/the-derby-black-calf,in stock
p32-v1542-s,DE,370 EUR,https://www.morjas.com/product/the-derby-brown-suede,in stock
p33-v1543-s,DE,370 EUR,https://www.morjas.com/product/the-derby-medium-brown-suede,in stock
p28-v1546-s,DE,370 EUR,https://www.morjas.com/product/the-derby-brown-grain,in stock
p30-v1540-s,DE,370 EUR,https://www.morjas.com/product/the-derby-burgundy-calf,in stock
p26-v1544-s,DE,370 EUR,https://www.morjas.com/product/the-derby-black-grain,in stock
p20-v1548-s,DE,370 EUR,https://www.morjas.com/product/the-plain-toe-blucher-black-calf,in stock
p7784-v9566-s,DE,370 EUR,https://www.morjas.com/product/the-plain-toe-blucher-beige-suede,in stock
p44-v1572-s,DE,350 EUR,https://www.morjas.com/product/the-double-monkstrap-black-calf,in stock
p45-v1574-s,DE,350 EUR,https://www.morjas.com/product/the-double-monkstrap-brown-calf,in stock
p49-v1567-s,DE,370 EUR,https://www.morjas.com/product/the-single-monkstrap-black-calf,in stock
p46-v1573-s,DE,350 EUR,https://www.morjas.com/product/the-double-monkstrap-burgundy-calf,in stock
p7787-v9569-s,DE,370 EUR,https://www.morjas.com/product/the-single-monkstrap-brown-suede,in stock
p47-v1575-s,DE,350 EUR,https://www.morjas.com/product/the-double-monkstrap-brown-suede,in stock
p54-v1562-s,DE,420 EUR,https://www.morjas.com/product/the-chelsea-black-calf,in stock
p57-v1565-s,DE,420 EUR,https://www.morjas.com/product/the-chelsea-brown-suede,in stock
p3426-v5108-s,DE,420 EUR,https://www.morjas.com/product/the-chelsea-black-suede,in stock
p56-v1564-s,DE,420 EUR,https://www.morjas.com/product/the-chelsea-brown-calf,in stock
p7757-v9515-s,DE,400 EUR,https://www.morjas.com/product/the-unlined-chukka-brown-suede,in stock
p63-v1561-s,DE,380 EUR,https://www.morjas.com/product/the-chukka-medium-brown-suede,in stock
p62-v1560-s,DE,380 EUR,https://www.morjas.com/product/the-chukka-brown-suede,in stock
p7733-v9488-s,DE,400 EUR,https://www.morjas.com/product/the-moc-toe-chukka-black-grain,in stock
p7732-v9487-s,DE,400 EUR,https://www.morjas.com/product/the-moc-toe-chukka-brown-suede-brown-grain,in stock
p77-v1594-s,DE,390 EUR,https://www.morjas.com/product/the-jumper-boot-black-grain,in stock
p78-v1595-s,DE,390 EUR,https://www.morjas.com/product/the-jumper-boot-brown-suede,in stock
p1684-v3212-s,DE,390 EUR,https://www.morjas.com/product/the-jumper-boot-brown-grain,in stock
p7726-v9481-s,DE,390 EUR,https://www.morjas.com/product/the-jumper-boot-black-calf,out of stock
p7745-v9500-s,DE,390 EUR,https://www.morjas.com/product/the-hybrid-hiker-black-leather,in stock
p3431-v5113-s,DE,380 EUR,https://www.morjas.com/product/the-hybrid-hiker-brown-nubuck,in stock
p3432-v5114-s,DE,380 EUR,https://www.morjas.com/product/the-hybrid-hiker-black-grain,in stock
p7731-v9486-s,DE,380 EUR,https://www.morjas.com/product/the-hybrid-hiker-taupe-suede,in stock
p3430-v5112-s,DE,380 EUR,https://www.morjas.com/product/the-hybrid-hiker-sand-suede,in stock
